epoch,voltage,current,power,power_factor,power_consumption
1.554986387e+09,216.8,0.27,54,0.919,4
1.554986388e+09,216.6,0.27,55,0.941,4
1.554986389e+09,216.5,0.27,56,0.9490000000000001,4
1.55498639e+09,216.3,0.39,78,0.919,4
1.554986391e+09,216.3,0.42,90,0.9940000000000001,4
1.554986392e+09,216.2,0.43,71,0.768,4
1.554986393e+09,216.4,0.29,90,1,4
1.554986394e+09,216.3,0.43,91,0.973,4
1.554986395e+09,216.4,0.44,90,0.9520000000000001,4
1.554986396e+09,216.4,0.42,75,0.815,4
1.554986397e+09,216.4,0.43,73,0.773,4
1.554986398e+09,216.4,0.43,89,0.9590000000000001,4
1.554986399e+09,216.6,0.37,85,1,4
1.5549864e+09,216.6,0.44,86,0.9009999999999999,4
1.554986401e+09,216.6,0.42,71,0.77,4
1.554986402e+09,216.8,0.43,71,0.754,4
1.554986403e+09,216.7,0.42,73,0.799,4
1.554986404e+09,216.8,0.43,88,0.94,4
1.554986405e+09,216.6,0.43,71,0.762,4
1.554986406e+09,216.8,0.44,71,0.743,4
1.554986407e+09,216.8,0.44,72,0.753,4
1.554986408e+09,216.7,0.43,74,0.789,4
1.554986409e+09,216.6,0.43,88,0.9329999999999999,4
1.55498641e+09,216.6,0.42,84,0.9129999999999999,4
1.554986411e+09,216.5,0.41,82,0.907,4
1.554986412e+09,216.5,0.28,89,1,4
1.554986413e+09,216.4,0.43,76,0.8029999999999999,4
1.554986414e+09,216.4,0.44,78,0.821,4
1.554986415e+09,216.6,0.44,90,0.938,4
1.554986416e+09,216.4,0.45,85,0.8740000000000001,4
1.554986417e+09,216.5,0.44,79,0.825,4
1.554986418e+09,216.5,0.44,75,0.7829999999999999,4
1.554986419e+09,216.3,0.44,74,0.763,4
1.55498642e+09,216.2,0.39,72,0.852,4
1.554986421e+09,216.3,0.29,91,1,4
1.554986422e+09,216.3,0.33,92,1,4
1.554986423e+09,216.5,0.27,92,1,4
1.554986424e+09,216.3,0.44,92,0.971,4
1.554986425e+09,216.4,0.43,72,0.762,4
1.554986426e+09,216.3,0.44,76,0.7859999999999999,4
1.554986427e+09,216.3,0.42,72,0.7929999999999999,4
